age,Abies,Acer,Alnus,Amaranthaceae,Apiaceae,Aristolochia,Artemisia,Asphodelus,Asteroideae,Berberidaceae,Betula,Boraginaceae,Brassicaceae,Buxus,Campanulaceae,Cardueae,Carpinus,Caryophyllaceae,Castanea,Centaurea,Cichorioideae,Cistaceae,Convolvulaceae,Corydalis,Corylus,Crassulaceae,Cyperaceae,Dipsacoideae,Droseraceae,Ephedra distachya,Ephedra fragilis,Epilobium,Ericaceae,Erodium,Euphorbiaceae,Fabaceae,Fagus,Fraxinus,Galium,Genista,Gentiana,Geraniaceae,Hedera helix,Helianthemum,Ilex aquifolium,Iridaceae,Juglans,Juniperus,Lamiaceae,Lemna,Liliaceae,Linum,Lonicera,Lotus-type,Lythrum,Myrtus,Nymphaea,Olea,Oleaceae,Papaver,Phillyrea,Pinguicula,Pinus,Pistacia,Plantago,Poaceae,Poaceae (Cerealia),Podospora,Polygonaceae,Populus,Potentilla,Primulaceae,Quercus (deciduous),Quercus (evergreen),Quercus faginea,Rhamnus,Ribes,Rosaceae,Rubiaceae,Rumex,Salix,Sambucus,Saxifragaceae,Scrophulariaceae,Sedum,Tamarix,Taxus,Thymelaeaceae,Tilia,Trifolium-type,Ulmus,Urticaceae,Valerianoideae,Viburnum,Viscum album,Vitis,total,Sordaria,Sparganium,Sporormiella,Triletes,Triletes (scabrate),Typha,Selaginella,Orobanchaceae,Osmunda,Asplenium,Botrychium,Isoëtes,Juncus,Monoletes,Monoletes (rugulate),Myriophyllum,Pedicularis,Polypodium,Potamogeton,Ranunculaceae,Ranunculus,Thalictrum
2886.9,4,,,7,2,,6,,2,,6,,,,,,,,,,2,,,,8,,2,,,,,,2,,,37,5,,,5,,,,,1,,,12,7,,,,,,,,,,,,,,136,,3,23,,,,,,1,13,10,8,,,5,,,,,,,,,,,,,1,3,1,,,,312,,,,,,,,,,,,,,,,9,,,,8,5,2
2985.4,17,,,5,2,,9,,1,,5,1,,,,1,,,,1,2,,,,7,,2,,,1,2,,4,,1,21,5,,,7,1,,,1,1,,,3,8,,,,,1,,,,1,,,,,160,,4,14,1,,,,,1,19,5,7,,,9,,1,,,,4,,,,1,,,,6,1,,,,343,,,,,1,,,,,,1,,,,,10,1,,,3,6,2
3084,5,,1,7,,,5,,2,,9,,1,1,1,2,,,,,5,,1,,7,,4,,,,,,2,,,26,2,,,6,,,,,,,,6,13,,,,,1,,,,,,,,,185,,1,22,,,,,,,20,9,6,,1,9,,1,,,,2,,,,,,,,4,,,,,367,,,,,,,,,,,,,,1,,6,,,,4,4,1
3182.5,9,,1,8,1,,6,,1,1,3,,,1,,,,3,,,3,,,,5,,9,,,,,,4,,,17,4,,,5,,,,,,,,11,11,,1,,,,,,,1,,,,,113,1,3,22,,,,,,1,25,5,6,,,15,,,,,,2,1,,,,,,,5,,,,,304,,,,,,,,,,,,,,,,10,1,,,10,5,
3281,4,,4,5,3,,2,,2,2,7,,1,2,1,,,1,,,5,,,,11,2,2,,,,1,,5,,,30,5,,,5,,,,,,1,,9,6,1,1,,,1,,,,1,,2,,,89,,3,26,,,,,,2,11,18,15,,,2,1,,1,,1,3,,,,,1,,3,6,,,,,304,,,,1,,,,,,,,,,,,6,1,,2,1,1,2
3379.5,6,,6,5,4,1,9,1,4,2,4,,1,,4,2,,4,,,5,,,,9,,1,,,1,,,5,,,22,6,,,2,,,1,2,,,1,7,10,1,,,,,,,,,,,,,136,,3,17,,,1,,,1,10,15,11,1,1,3,,,2,,,3,,,,,,1,2,8,,,,,341,,,,1,1,,,,,,,,,1,,6,1,,1,2,3,3
3474.8,6,,5,8,3,,8,,2,2,5,,1,,2,,,1,,,4,,,,16,,4,,,,,,4,,,24,4,,1,5,,,,,1,,1,5,8,,1,,,4,,,,,,,,1,117,,1,14,,,,,,,11,14,15,,,2,,,,,,5,,,,,1,,1,5,1,,,,313,,,,,1,,1,,,,1,,,1,1,4,1,,,3,4,
3568,11,,2,7,2,,3,1,3,,11,1,2,,1,1,,,,,11,,,,14,,2,,,,1,,7,,,26,5,,,3,1,,,,1,,,8,9,,2,,,2,,,,,1,,,,110,,,19,,,,3,,2,5,7,3,1,,1,1,,1,,,7,,1,,,1,2,,6,,,,,308,,,,1,,,,,,,,,,1,,9,,,1,6,3,2
3661.1,22,,3,5,6,,3,,3,,6,,,,,,,1,,,5,,,,9,,,,,1,2,,2,,,22,5,,,3,,,,1,,1,,6,5,,,1,,2,,,,,1,,,,121,,2,21,,,,,,3,8,15,7,2,,2,,,2,,,7,,1,,,1,4,1,5,,,,,317,,,,1,,,,,,,,,,2,,7,,,1,2,2,2
3786.8,14,,4,8,,,1,,1,,7,,3,1,,,,1,,,4,,,,19,1,2,,,,1,,4,1,,28,1,,,5,,,,1,,1,,2,6,,5,,,1,,,,,,,,,119,,,30,,,,1,,,1,3,3,,,3,,,1,,,2,1,1,,,,3,,6,,,1,,297,,,,,,,,,,,,,,2,,9,,,3,1,2,
