depth,age,abies alba,acer,achillea,aconitum,alchemilla,allium,alnus glutinosa,alnus viridis,amaranthaceae,anemone alpina,apiaceae,artemisia,aster/achillea-type,asteraceae,astrantia,bartsia,betula,botrychium,brassicaceae,bupleurum,calluna vulgaris,campanulaceae,cannabis sativa,carduus,carpinus betulus,caryophyllaceae undiff.,castanea sativa,cercophora,chaerophyllum,cichorioideae,coniferae,corylus avellana,cystopteris fragilis,dianthus,dryas octopetala,ephedra distachya,ericaceae,eryngium,euphorbia,fabaceae,fagus sylvatica,falcaria-type,filipendula ulmaria,fraxinus excelsior,genista-type,geranium,geum,gnaphalium,gypsophila,hedera helix,helianthemum,helleborus,heracleum sphondylium,homogyne alpina,hordeum,humulus lupulus,huperzia selago,hypericum,juglans regia,juniperus,juniperus,lamiaceae,larix,larix decidua,ligusticum mutellina,liliaceae,lilium martagon,melampyrum,mentha,odontites,onobrychis,papaver,peucedanum,picea,picea abies,pinus,pinus cembra,pinus sylvestris,plantago alpina,plantago lanceolata,plantago major,plantago media,plantago montana,poaceae,poaceae (cerealia),podospora,polypodium,populus,potentilla,poterium sanguisorba,primula,prunus,pteridium,quercus,ranunculus aconitifolius,ranunculus acris,rhamnus,rhinanthus,rhododendron,ribes alpinum,rosaceae,rubiaceae,rubus,rumex acetosa,rumex alpinus,salix,saxifraga granulata,saxifraga oppositifolia,scabiosa columbaria,scrophularia-type,secale,sedum-type,selaginella selaginoides,senecio,silene vulgaris,sorbus,sporormiella,teucrium-type,thalictrum,tilia,trifolium,trifolium repens,triticum,trollius europaeus,ulmus,urtica dioica,ustulina,vaccinium-type,veratrum album,veronica,viscum album,vitis vinifera,xanthium
354,5213,74,3,,,,,29,,1,,,1,,,1,,4,,,,,1,,,,,,,,,,25,,,,,,,,,4,,,2,,,,,,,,,1,,,,,1,,2,,,1,2,,,,1,,,,,1,,91,,103,4,,,,,,31,,,,,,,,,2,6,1,,,,,,1,,,,1,,,,,,,,,,,1,2,,,1,,,,,21,1,5,,,,,,
355,5238,49,,,,,,29,2,,,,5,,,,,3,1,,,,,,1,,,,,,,,33,,,,,,,,,5,1,,2,,,,,,,2,,2,,,1,,,,4,,,,2,,,,1,,,,,,,102,,74,6,,,,,,42,,,,,,,,,,6,1,1,,,,,,,,2,,,,,,,,,1,,,2,2,,,1,,,,,19,2,,,,,,,
356,5264,85,5,,,,,18,3,1,,,4,,,,,1,,1,,,,,,,,,,1,1,,28,,,,,,,,,9,,,,,,,,,,2,,,,,,,,,,,,1,2,,,,,,,,,,,75,,111,5,,1,,,,29,,,,,,,,,3,4,,1,,,,,,1,,1,,1,,1,,,,,,,,,1,,,3,,,,,25,,1,,,,,,
357,5290,82,2,,,,,26,4,1,,,5,,,,,1,,2,,1,,,,,,,,1,,,32,,,,,,,,,7,,,3,,,,,,,,,3,,,,,1,,2,,,,4,,,,,,1,,,1,3,52,,97,8,,,,,,39,,,,,,,,,2,8,,,,,,,1,,,,,1,,,,,,,,,,3,3,,,1,,,,,14,,,,,,,,
358,5316,54,3,,,,,26,1,,,,6,1,,2,,4,1,,,,,,,,,,,1,,,28,,,,,,1,,1,13,,,3,,,,,,,,,3,,,,,,,2,,,,3,,,,,,1,,,1,,47,,107,9,,,,,,41,,,,,,,,,6,11,1,1,,,,,1,1,,2,,,,,,,,,1,,1,,,,,6,,,,,11,2,2,,,1,,,
359,5342,81,2,,,,,38,1,,,,1,,,,,1,,1,,,,,,,,,,1,2,,24,,,,,,1,,,8,,,10,,,,,,,1,,,,,1,,,,1,,,1,1,,,,,,,,,2,14,45,1,98,4,,,,,,33,,,,,,,,,4,6,,1,,,,,1,,,3,,1,2,,,,,,,,,4,1,,,1,,,,,16,5,1,,,,,,
360,5367,108,5,,1,,,32,,,,,4,,,,,9,,,,,,,,,,,1,,,,37,,,,,,,,,3,,,4,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,1,1,37,,103,9,,,,,,17,,,,,,,,,,10,,,,1,,,,,,3,,3,1,,,,,,1,,,,1,,,,1,,,,6,,1,,,,,,
361,5393,65,2,1,,,,37,1,,,1,4,,,,,3,,,1,,,,,,,,,,,,25,1,,,,,,,,7,,1,5,,,,,,,1,,,,,,,,,3,,,,1,,,,,,,,,,2,36,,118,10,,,,,,33,,,,,,,,,2,8,,3,,,,,,,,1,1,2,1,,,,,,1,,,1,3,,,2,,,,,21,6,3,,,,,,
362,5419,110,2,,,,1,27,,,,1,4,,,,,2,,1,,,,,,,,,,1,,,25,,,,,,,,,1,,3,3,,,,1,,,,,1,,,,,,,1,1,,,6,,,,,,,,,2,7,40,,103,14,,,,,,28,,,,,,,,,3,4,,,,,,,,,,,,,1,1,,,,,1,,,2,3,,,1,,,,,16,3,,,,,,1,
363,5445,118,5,,1,,,23,,,,,2,,,,,1,,,,,,,,,,,,,,,26,,,,,,,,,2,,,3,,,,,,1,,,1,,,,,,,1,,,1,4,,,,,,,,,,,28,,121,5,,,,,,25,,,,,,,,,3,9,,,,,,,,,,3,,2,1,1,,,,,,,,1,8,,,2,,,,,17,2,4,1,,,,,
364,5471,87,3,,,,1,24,,,,,2,,,,,7,,3,,,,,,,,,,,2,1,37,,,,,,,,,2,,,2,,,,,,,1,,1,,,,,,,3,,,,2,,,,,,1,,,,,28,2,97,4,,,,,,34,,,,,,,,,4,5,1,1,,,,,3,,,,,,,,1,,,,,,,3,9,,2,2,,,,2,33,4,,,,,,,
365,5496,76,5,,,,1,27,,,,,6,,,,,6,,1,,,,,,,,,,,1,,27,,,1,,,,,1,6,,1,6,,,,,,,,,,,,,,,,3,,,,2,1,,,,,,,,,,29,,121,17,,,,,,28,,,,,,,,,4,3,,,,1,,,,,,,,2,1,,,,,,,,,,7,,,1,,,,2,25,2,3,,,1,,,
366,5522,78,1,,1,,,31,,,,2,5,,,,,5,,,,,,,,,,,,2,2,,37,,,,,,,,1,3,,,3,,,,,,,,,,,,,,1,,2,,,1,2,,,,,,,,,1,,23,,112,15,,,,,,48,,,,,,,,,4,3,1,1,,3,,,,1,,,,2,1,1,,,,,,1,,,3,,,4,,,,,22,3,3,,,,,,
367,5548,86,1,,,,,17,1,,,,2,,,,,2,,,,,,,,,,,,1,2,,20,,,,,,,,,4,,,1,,,,,,,1,,,,,,,,,3,,,,5,,,,,,,,,1,,36,3,156,6,,,,,,28,,,,,,,,,6,1,,1,,,,,,,,1,1,,,,,,,,1,,,2,,1,1,2,,,,,11,1,,,,,,,
368,5574,119,2,,,,,35,,,,,4,,,,,3,,1,,,,,,,1,,,,1,,34,,,,,,,,,6,1,,5,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,19,,140,13,,,,,,32,,,1,,,,,,1,4,,1,,,,,1,1,,,,,,,,,,1,2,,1,,2,,2,,,,,,23,1,1,,,1,,,
369,5606,110,6,,,,1,30,1,1,,,4,1,,,1,3,,,,,,,,,,,,,,,28,,,,,,,,,2,,,3,,,,,,,,,1,,,,1,1,,1,,,2,2,1,,,,,,,,2,,12,1,115,5,,,,,,28,,1,,,1,,,,,8,,,,1,,,,,,,,,1,2,,,,,2,,,,1,,,,,,,,24,6,,,,,,,
370,5638,101,3,,,,,35,,,,,,,,,,4,,,,,,,,,1,,,1,2,,38,,,,,,,,,2,,1,3,,1,,,,,2,,,,,,,,,3,,,1,2,,,,1,,,,,1,,18,1,132,6,,,,,,22,,,,,,,,,2,7,,3,,1,,,,1,,,,,,1,,,,,1,,,1,1,,2,1,,,,,19,3,5,,,,,,
