depth,age,abies,acer,aconitum,alchemilla,alnus incana-type,alnus viridis,amaranthaceae,anemone nemorosa-type,apiaceae,artemisia,asteroideae,bartsia-type,betula,bistorta officinalis,boraginaceae,botrychium,brassicaceae,bupleurum,calluna vulgaris,campanulaceae,cannabaceae,carpinus,caryophyllaceae,castanea sativa,centaurea cyanus,centaurea nigra-type,centaurea scabiosa,cichorioideae,circaea,corylus,cystopteris fragilis,daphne-type,dryas-type,dryopteris-type,echium,ephedra distachya-type,ephedra fragilis-type,epilobium,ericaceae,fabaceae,fagus,filipendula,fraxinus,genista-type,gentiana purpurea-type,geranium,geum-type,globularia,hedera,helianthemum,homogyne-type,hypericum,juglans,juniperus,juniperus,knautia,larix,larix,liliaceae-type,lilium martagon-type,lonicera,mentha-type,menyanthes trifoliata,mercurialis,micranthes stellaris-type,odontites-type,olea,onobrychis,ononis-type,picea,pinus,pinus cembra,pinus sylvestris-type,plantago,plantago alpina,plantago atrata-type,plantago lanceolata-type,plantago major-type,poaceae,poaceae (cerealia),polypodium,potamogeton,potentilla-type,primulaceae,pteridium aquilinum,pteridophyta (monolete) undiff.,quercus,ranunculaceae,ranunculus-type,rhinanthus,rosaceae,rubiaceae,rumex-type,salix,sambucus nigra-type,sample quantity,sanguisorba officinalis,saxifraga oppositifolia-type,scabiosa,scrophulariaceae,secale,sedum-type,selaginella selaginoides,sorbus,sparganium-type,teucrium,thalictrum,tilia,trifolium-type,trollius europaeus,ulmus,urtica,valeriana,varia,viburnum
235,5685.87,91,2,,,8,,,1,10,5,,,71,,,1,,1,,2,,,,,,,,2,,34,,,,1,,,,,,,1,,3,,,1,,,,,,,,6,,,7,,,,,,1,,,,,,,,,297,321,1,,,,,95,,,35,,,3,9,23,1,1,,4,1,7,7,1,1,,,,,,,,1,3,,1,2,,,40,,,2,1
240,6203.12,41,6,,,7,1,,1,8,2,2,1,66,,,1,,,,1,,,2,,,,,2,,28,,,,7,,,,,,,,,12,,2,,,,,,,,,2,,,5,,,,,,,,,,,,,,2,252,456,,,,,,95,,1,44,,,,8,35,8,,,4,,15,6,,1,,,,,,,,,2,,1,11,,,59,,,5,1
243.5,6600.42,21,6,,,9,1,,2,12,2,1,,96,,,2,,1,,3,,,,,,,,3,,34,,,,,,,,,,,,,8,,,,,,,1,,,,1,,,5,3,,,,,1,,,,,,,,,257,330,,,,,,50,,,16,,,,5,34,1,3,,,,8,4,,1,,,,,,,,1,,,1,15,,,49,2,1,,
245,6752.45,12,5,,,19,,1,,9,2,1,,82,,,6,,,,2,,,,,,,,1,,56,,,,,,,,,,,,,6,,2,,,,,,,,,1,,,20,,,,,,,,1,,,,,,,168,331,,,,,,54,,,24,,,,4,38,7,,1,5,,12,1,,1,,,,,,,3,,1,,,16,1,,53,,,,
246,6852.36,14,3,,,17,,,2,11,4,1,,74,,,4,,,,,2,,1,,,,,4,,23,,,,1,,,,,,,,,10,,2,,,,,,,,,3,,,21,,,,,,,,,,,,,1,,140,285,1,1,1,,,68,,,50,,,,,25,,2,1,1,,4,3,,1,,,,,,1,1,,,,1,7,,,44,,,,
247,6952.27,10,3,,,14,,1,1,19,2,4,,34,,,28,,1,,3,,,2,,,,,5,,36,,,,,,,,,,,,1,1,,1,1,,,,,,,,3,,,12,,,,,,,,,,,,,,,88,223,,,,,,66,,,24,,,,4,16,13,,,,,3,1,,1,,,,,,,14,,,,1,6,,,20,,,1,
247.5,7002.22,6,3,,,10,,,1,4,6,,,96,,,1,,,,4,,,,,,,1,1,,30,,,,,,,,,,,1,,10,,,,,,,,,,,2,,,28,,1,,,,,,,,,,,,2,157,379,1,,,,,49,,,13,,,,6,31,1,1,,3,,7,3,,1,,,,,,,2,,,,,20,,,49,,,1,
248,7063.33,3,4,1,,19,,,,13,3,1,,109,,,1,,,,2,,,,,,,1,6,,31,,,,,,,,,1,,,,11,,,1,,,1,,,,,2,,,15,,,,,,,,,,,,,,,131,352,,,,,,63,,,20,1,,,6,18,4,1,,2,,5,1,,1,,,,,,2,5,1,,,2,12,,,46,,,,
249,7185.56,6,8,,,10,,,2,10,2,1,,100,,,2,,1,,1,,,,,,,,7,,33,,,,,,,,,,,,1,4,,,,,,,,,,,13,,,29,,,,,,,,,1,,,,,,167,390,1,1,,,,40,,1,9,1,,,14,28,7,,1,,,7,3,,1,,,,,,1,2,1,,,,10,,,47,,,,
250,7307.78,6,4,1,,7,2,,3,11,3,1,1,80,,,,,2,,4,,,1,,,,,4,,40,,,,4,,,,,1,,,,4,,1,1,,,,1,,,,2,,,15,2,,,1,,,,,2,,,,,5,216,443,,,,1,,102,,1,25,2,,1,5,21,4,,,4,,7,3,,1,,,,,,,,1,,,3,16,,,42,,,4,
251,7428.37,4,1,,,,1,,,3,2,,,50,,,,,1,,2,,,1,,,,,1,,21,,,,3,,,,,,,,,2,,,,,,,1,,,,1,,,10,1,,,,,,,,,,,,,,185,329,,,,,,56,,,1,,,1,5,14,4,1,,,,5,4,,1,,,,,,,,,1,,1,17,,1,33,,,1,
253,7666.29,3,6,,,15,,1,2,10,3,,,59,,,1,1,,,2,,,2,,,,1,3,,74,,,,1,,,,,,,,,1,,,2,,,,,,,,6,,,3,,,,,,,,1,,,,,,,222,518,1,,,,,70,,,21,,,,13,28,6,1,,2,1,9,2,,1,,,,,,,4,,5,,,12,,,35,3,,,
255,7850.38,,1,,,7,,,1,18,8,1,,60,,,1,,,,2,,,,,,,,7,,81,,,,,,,,,,,,,3,,2,,,,1,,,,,1,,,9,,,,,,,,1,4,,,,,2,231,589,,,,,,93,,,11,,,,14,35,5,1,1,2,2,7,,,1,,,,,,,2,1,1,,1,11,,,37,2,,1,1
258,8053.12,,1,,,8,,,1,12,1,,,63,,,3,1,,,1,,,,,,,1,6,,44,,,,1,,,,,,,,,,,2,1,,,1,,,,,1,,,7,,,,,1,,,,,,,,,,211,479,,,,,,93,,,5,,,,5,22,6,1,1,2,1,9,,,1,,,,,,,6,,3,,3,10,,,30,,,3,
260,8157.29,,1,1,,7,,,,17,3,3,,66,,,2,,,,2,,,1,,,,,10,,80,,,,,,,,,,,,,,,2,1,,,,1,,,,8,,,31,,,,,,1,,,,,,,,2,182,464,,,,,,108,,,18,1,,,4,34,5,1,,5,1,6,1,,1,,1,,,,,4,1,2,,2,22,,,55,2,,4,
262,8261.46,1,2,,,12,,,,25,4,1,,53,,,2,,,,1,,,1,,,,,3,,58,,,,1,,,,,,,,,1,,1,,,,,1,,,,2,,,25,1,1,,,,,,,,,,,,,178,495,1,,,,,83,,,7,,,,8,11,2,1,1,8,,11,1,,1,,,,,,,5,3,1,,2,14,,,21,,,1,
264,8365.62,2,1,,,6,,,,12,3,,,57,,,,,,,1,,,,,,,,7,,51,,,,2,,,,,,,,1,,,,,,,1,,,,,2,,,8,,,,,,,,,,,,,,,185,523,,,,,,60,,,2,,,1,10,23,5,2,,1,1,8,,,1,,,,,,,2,1,,,2,12,,,15,,1,,
266,8469.79,1,,,,6,,,1,6,7,,,64,,,,,,,,,,1,,,,,4,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,1,1,,,,,,,1,,,,,167,513,1,,,,,89,,1,1,,,2,3,24,1,,1,1,,9,2,,1,,,,,,3,3,,,,,7,,,15,,,2,
268,8573.96,1,1,,,9,,,3,11,3,1,,82,,,,,,,,,,1,,,,,2,,102,,,,1,,,,,,,,,,,3,1,1,,,,,,,2,,,22,2,,,,,,,,2,,,,,,159,525,2,,,,,92,,,8,2,,,6,26,4,2,,6,,10,5,,1,,,,,,,,,1,,1,12,,,25,,,,
270,8681.43,1,,,,8,,,3,14,3,1,1,79,,,,,,,,,,2,,,,1,5,,118,,,,3,,,,,,,,,,,,,,,,,,,,1,,,27,4,,,,,,,,,,,,,1,180,333,,,,,,113,,1,7,1,,,3,22,2,1,,1,,5,2,,1,,,,,,,2,,,,4,12,,,34,5,,3,
272,8790,1,2,,,9,,,1,14,4,,,53,,,,,1,,,,,1,,,,,1,,70,,,,1,1,,,,1,,,,,,2,1,,,1,,,,,2,,,14,5,,,,1,,,,,,,,,1,138,427,,,,,,142,,1,9,,,,4,19,1,1,,,,9,,,1,,,,,,1,1,,,,1,11,,,16,,,,
274,8898.57,,,,,8,,,1,12,3,1,,70,,,,,,,2,,,2,,,,1,8,,53,,,,,,,,,,,,1,,,1,,,,,,,,,2,,1,24,2,,,,,,,,,,,,,1,116,417,1,2,,,,160,,,9,,,,9,13,1,,1,1,1,12,2,,1,,,,,,1,,,,,4,8,,1,15,,,,
278,9125.36,1,,,,5,,,1,4,6,,,65,,,,1,,,1,,,2,,,,2,4,,55,,,,1,,,,,,,,3,,,1,,,,,,,,,8,,,19,3,,,,,,,,,,,,,,112,459,1,3,,,,163,,,32,,,1,7,10,2,1,,2,1,18,2,,1,,,,,,4,2,2,,,2,9,1,,20,,,,
280,9259.64,,,,,7,1,,,5,19,4,,45,,,1,1,2,,1,,,1,,,,,2,,43,,,,3,,,,,,,,,,,2,,,,,1,,,,10,,,23,4,,,,,,,,,,,,,,64,716,,7,1,,,193,,,12,1,,,7,2,1,1,,3,1,29,2,,1,,,,,,,2,1,,,4,1,,,6,7,,1,
282,9453.41,,,,,6,,,1,4,5,2,,63,,,1,2,,,1,,,,,,,,3,,15,,,,,,,,,,,,,,,,,,,,,,,,4,,,8,1,1,,,,,,,,,,,,,76,588,,3,,,,176,,,17,,,,7,5,1,1,,2,,17,,,1,,,,,,2,,2,,,6,2,,,3,1,1,,
284,9668.8,,,,,5,,1,,4,19,4,,27,,,1,1,1,,,,,3,,,,,3,,1,,,,,,,,,,1,,1,,,,,,,,,,,,6,,,2,,,,,,,,,,,,,,,87,732,,,,,,74,,,,,,,6,3,4,,,2,,7,1,,1,,,,,,,,2,,,1,,,,,,,,
286,9889.6,,,,,,,2,,4,18,4,,30,,,2,,,,,,,2,,,,,4,,,,,,,,,,,,,,2,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,112,852,,,,,,63,,,,,,,2,,,,,,2,10,1,,1,,1,,,,,,,,,10,,,,,,,1,
290,10033.91,,,,,,,15,,2,75,14,,11,,,1,,,,,,,9,,,,,5,,,,,,,,6,2,,,,,4,,,1,,,,,1,,1,,26,,,1,,,,,,,,1,,,,,,,104,585,,1,,,,105,,,,,,,,,2,,,,2,7,3,,1,,3,,,,,1,,,,6,1,,,,,,,
298,10124.35,,,,,1,,6,1,5,77,5,,6,,,1,,,,,,,5,,,,,2,,,,,,,,3,1,,,,,2,,,,,,,,,,,,14,,,1,,,,,,,,,,,,,,,29,818,,2,,,,102,,,,,,,,,3,,,,3,5,1,,1,,,,,,,1,,,,3,,,,,1,,3,
310,10260,,,,,,,18,,3,72,11,,9,,,2,1,,,,,,2,,,,,8,,,,,,,,1,,,,,,,,,,,,,,,,,,21,,,,,,,,1,,,,,,,,,,69,768,,,,,,94,,,,,,,1,,2,,,1,3,8,,,1,,1,,,,,1,,,,8,,,,,,,2,
320,10373.04,,,,,,,12,,3,59,5,,6,,,4,1,,,,,,4,,,,,7,,,,1,,,,,2,,,,,3,,,,,,,,1,,,,23,,,,,,,,,,,,,,,,,,60,804,,,,,,75,,,,,,,1,,,,,,2,5,1,,1,,3,,,,,,,,,2,,,,,,,3,
335,10542.61,,,,,,,13,,2,47,9,,9,,,1,,,,,,,7,,,1,,9,,1,,,,,,1,1,,,,,2,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,24,783,,,,,,78,,,,,,,1,,2,,,,2,6,2,,1,,2,,,,,,,,,4,,,,,,,1,
345,10655.65,,,,,1,,10,1,2,48,6,,10,,,2,,,,1,,,5,,,,,6,,,,,,,,1,,1,,,,1,,,,,,1,,,,,,14,,,,,,,,,,,,,,,,,,54,787,,,,,,90,,,,,,,1,,,,,,2,4,4,,1,,1,,,,,,,,,4,,,,,,,,
350,10712.17,,,,,,,10,,2,44,9,,11,,,1,,1,,,,,2,,,,,9,,,,,,,,1,2,,,,,1,,,,,,,,,,,,16,,,,,,,,,,,,,,,,1,,57,759,,,,,,55,,,,,,,1,,,,,,1,3,2,,1,,3,,,,,,,,,6,,,,,,,,
