depth,age,abies,acer,alnus,amaranthaceae,apiaceae,aristolochia,artemisia,asphodelus,asteroideae,berberidaceae,betula,boraginaceae,brassicaceae,buxus,campanulaceae,caryophyllaceae,castanea,centaurea,cichorioideae,convolvulaceae,corydalis,corylus,cyperaceae,ephedra distachya-type,ephedra fragilis-type,epilobium,ericaceae,euphorbiaceae,fabaceae,fagus,fraxinus,galium,genista-type,gentiana,geraniaceae,hedera helix,helianthemum,ilex aquifolium,iridaceae,isoëtes,juglans,juniperus,lamiaceae,liliaceae,linum,lonicera,lotus-type,lygeum spartum,lythrum,malvaceae,myriophyllum,nymphaea,osmunda,papaver,pedicularis,phillyrea,pinus,pistacia,plantago,plumbaginaceae,poaceae,polypodium,populus,potamogeton,potentilla,primulaceae,pteris,quercus (deciduous),quercus (evergreen),ranunculaceae,rhamnus,ribes,rosaceae,rumex,salix,sambucus,sanguisorba,saxifragaceae,scrophulariaceae,sedum,selaginella,solanaceae,sparganium,tamarix,taxus,thymelaea,tilia,trifolium-type,ulmus,urticaceae,utricularia,viburnum
343,9036,,,,1,7,,9,,,,72,,,,,,,,,,,84,4,,,,,,10,,1,,,,,,,,,,,29,,8,,,,,,,,,,,,,91,1,,,26,,1,,,,,20,20,1,,,7,,,,,,1,,,,,,1,,,,18,,,
344,9066,,,,,8,,11,,1,,65,,,1,,,,,,,,89,1,1,,,1,,10,,2,,,,,,,,,,,27,1,7,,,,,,,,,,,,,100,,,,28,,,,,,,22,15,5,,,4,,,,,,,,,,,1,2,,,,12,,,
345,9097,,2,,,9,,9,,,,70,,,,,,,,,,,90,2,,1,,1,,12,,,,,,,,,,,,,25,,7,,,1,,,,,,,,,,105,2,,,24,,,,,,,21,10,4,,,8,,,,,,1,,,,,,1,,,,17,,,
346,9128,,,1,1,8,,10,,,,69,1,,,,,,,1,,,92,2,,,,,,11,,,,,,,,,,,,,23,,8,,,1,,,,,,,,,,117,,,,21,,,,,,,20,11,7,,,5,,,,,,,,,,,,,,,,13,,,
347,9158,,,,,5,,11,,,,68,,,,,,,,,,,93,,,,,,,10,,,,,,,,,,,,,21,,8,,,,,,,,,,,,,98,1,,,20,,,,,,,19,9,8,,,2,,,,,,1,,,,,,,,,,11,,,
348,9189,,,1,2,7,,8,,1,,67,,,,,,,,,,,95,,,,,1,,11,,1,,,,,,,,,,,19,,9,,,,,,,,,,,,,87,,,,22,,,,,,,21,7,4,,,7,,,,,,,,,,,,1,,,,10,,,
350,9219,,,1,,9,,7,,,,65,,,,,,,,,,,96,,,,,,,8,,,,,,,,,,,,,17,,9,,,,,,,1,,,,,,90,,,,23,,,,,,,20,11,5,,,5,,,,,,,,,,,,,,,,8,,,
351,9250,,,,1,8,,9,,,,67,,,,,,,,1,,,98,1,1,,,,,9,,2,,,,,,,,,,,21,,10,,,,,,,,,,,,,78,,,,20,,,,,,,20,12,3,,,4,,,,,,1,,,,,1,,,,,9,,,
352,9281,,2,,,8,,4,,1,,70,,,,,,,,,,,100,1,1,,,,,8,,1,,,,,,,,,,,25,,11,,,,,,,,,,,,,87,,,,19,,,,,,,17,10,2,,,6,,1,,1,,,,,,,,1,,,,7,,,
353,9311,,,1,2,10,,5,,,,71,,,,,,,,,,,102,1,1,,,,,7,,,,,,,,,,,,,29,,16,,,,,,,,,,,,,91,,,,19,,,,,,,21,8,2,,,5,,,,,,,,,,,1,,,,,10,,,
354,9342,,1,,1,10,,6,,,,72,1,,,,,,,,,,98,,1,,,1,,10,,,,,,,,,,,,,33,,11,,,,,,,,,,,,,88,,,,21,,,,,,,23,12,2,,,4,,,,1,,,,,,,,2,,,,11,,,
355,9373,,,1,1,14,,5,,,,71,,,,,,,,1,,,86,,,1,,,,11,,,,,,,,,,,,,37,,10,,,,,,,,,,,,,91,,,,18,,,,,,,25,13,1,,,3,,,,1,,,,,,,,,,,,12,,,
356,9403,,,,,15,,8,,,,68,,,,,,,,,,,85,1,,,,,,12,,,,,,,,,,,,,41,,9,,,,,,,,,,,,,92,,,,19,,1,,,,,23,11,4,,,2,1,,,,,,,,,,1,,,,,8,,,
357,9434,,1,1,,15,,9,,,,65,,,1,,,,,1,,,80,,,1,,,,11,,,,,,,,,,,,,45,,10,,,,,,,,,,,,,90,,,,23,,,,,,,22,9,2,,,1,,1,,,,1,,,,,,1,,,,7,,,
358,9464,,,,1,15,,10,,1,,60,,,,,,,,,,,79,,,,,,,13,,,,,,,,,,,,,42,,12,,,,,,,1,,,,,,87,,,,20,,,,,,,23,13,3,,,2,,,,1,,,,,,,1,2,,,,9,,,
359,9495,,,,,13,,11,,,,62,,,,,,,,,,,82,,,1,,,,12,,1,,,,,,,,,,,39,,10,,,,,,,,,,,,,92,,,,21,,,,,,,21,14,1,,,,,,,1,,,,,,,2,1,,,,5,,,
360,9526,,,,2,17,,10,,1,,63,1,,,,,,,,,,78,1,,,,,,10,,,,,,,,,,,,,36,,11,,,,,,,1,,,,,,97,,,,20,,,,,,,21,12,2,,,1,,,,,,,,,,,1,,,,,4,,,
361,9556,,,,1,14,,12,,,,64,,,1,,,,,,,,79,,,,,,,9,,,,,,,,,,,,,33,,7,,,,,,,,,,,,,90,,,,18,,,,,,,21,10,3,,,,,,,1,,,,,,,,,,,,7,,,
362,9587,,,,,15,,14,,,,66,,,,,,,,1,,,80,,,,,1,,9,,2,,,,,,,,,,,30,,10,,,,,,,1,,,,,,84,,,,17,,,,,,,22,14,5,1,,,,,,,,1,,,,,,,,3,,6,,,
363,9617,,,,1,14,,11,,,,65,1,,,,,,,,,,84,,,1,,,,8,,,,,,,,,,,,,27,,14,,,,,,,,,,,,,92,,,,18,,1,,,,,21,7,6,,,2,,1,,,,,,,,,,1,,,,7,,,
365,9679,,,,1,11,,11,,,,71,,,1,,,,,1,,,93,,,,,,,9,,2,,,,,1,,,,,,21,,11,,,,,,,,,,,,,98,,,,16,,,,,,,21,2,4,1,,,,,,1,,,,,,,,,,,,6,,,
364,9648,,,,,10,,10,,,,68,,,,,,,,,,,86,1,,1,,1,,10,,,,,,,,,1,,,,24,,15,,,,,,,1,,,,,,95,,,,15,,,,,,,20,5,7,,,,1,,,,,,,,,,1,,,2,,4,,,
367,9709,,,,1,14,,8,,,,73,,,,,,,,1,,,95,,,1,,,,7,,,,,,,,,,,,,22,,18,,,,,,,1,,,,,,104,2,,,18,,,,,,,20,8,4,,,1,,,,2,,,,,,,,,,,,7,,,
368,9740,,,,,16,,9,,1,,78,,,,,,,,,,,98,,,1,,1,,5,,1,,,,,,,,,,,23,,17,,,,,,,4,,,,,,101,,,,14,,2,,,,,22,6,2,,,,,,,,,,,,,,1,1,,1,,8,,,
370,9801,,,1,,14,,11,,,,64,,,1,,,,,,,,123,,,,,1,,5,,,,,,,1,,,,,,21,,15,,,,,,,,,,,,,110,,,,10,,2,,,,,20,1,4,,,,,,,,,,,,,,1,2,,,,5,,,
