depth,age,abies,abies alba,acer campestre-type,achillea-type,allium,alnus glutinosa-type,alnus viridis,amaranthaceae,apiaceae,artemisia,aster-type,avena-type,bartsia-type,betula nana,betula pubescens,botrychium,brassicaceae,buxus sempervirens,calluna vulgaris,calystegia,campanula,cannabis-type,carduus,carpinus betulus,caryophyllaceae,castanea sativa,centaurea cyanus,centaurea montana,centaurea scabiosa,cerastium,chaerophyllum-type,cichorioideae,corylus avellana,cuscuta europaea-type,cyperaceae,dryas octopetala,ephedra distachya-type,ephedra fragilis-type,eryngium,fagus sylvatica,filipendula,fraxinus excelsior-type,genista-type,gentiana-type,geranium-type,geum,gnaphalium-type,gypsophila,hedera helix,hedwigia,helianthemum,heracleum,homogyne alpina,hordeum-type,juglans regia,juniperus,juniperus-type,knautia,lamiaceae,larix,larix decidua,liliaceae undiff.,lonicera alpigena,lonicera xylosteum,mentha-type,olea europaea,pediastrum,picea,picea abies,pinus,pinus cembra,pinus sylvestris-type,pistacia,plantago alpina,plantago lanceolata,plantago major/p. media,poaceae,poaceae (cerealia),podospora-type,populus,potentilla-type,poterium sanguisorba,quercus robur-type,ranunculus acris-type,ranunculus-type,rhamnus,rhinanthus-type,rhododendron,rosaceae,rubiaceae,rumex acetosa-type,salix,saxifraga granulata-type,saxifraga oppositifolia-type,scorzonera-type,secale,selaginella selaginoides,silene dioica-type,sorbus,sordaria-type,sporormiella,succisa,taxus baccata,thalictrum,tilia,triticum-type,trollius europaeus,ulmus,urtica,valeriana officinalis,vitis vinifera,xanthium spinosum-type
224,3854,,16,,,,40,32,,1,10,,,,,39,,1,,,,,,2,,,,,,,,3,,37,,13,,,,,27,,1,,,,,,,,,,1,,4,,,1,,,,1,,,,,,3,10,141,1,6,24,,,4,1,24,4,,,1,,43,3,3,,,,1,1,2,5,,,,,,,2,1,2,,3,,,,,5,,,,
225,3899,,20,1,,,38,16,,,7,,,,,32,,,,,,,,,,,,,,,,2,,14,,12,,,,,24,,3,,,,,,,,,,,,3,,,3,,,,1,,,,,,2,1,192,,4,22,,,6,,22,3,,,2,,15,2,1,,,,1,1,2,2,,,,,,,3,,4,,2,,1,,,7,1,,,
226,3943,,34,,,,43,33,1,,4,,,,,21,,2,,,,1,,,,,,,,,,,,24,,3,,,,,27,,7,,,,,,,,,,,,1,,,1,,,,,,,1,,,2,,186,,10,24,,,4,,12,1,,,1,,27,2,2,,,,,,2,3,,1,,,,,4,,1,,2,,1,,,6,,,,
227,3988,,17,,,,33,27,,,7,,,,,32,1,1,,,,,,1,1,,,,,,,1,,15,,12,,,,,21,,3,,,,,,,,,,,,3,,,2,,,,1,,,,,,2,2,219,,6,17,,,3,,24,3,,,,,22,2,3,,,,,1,3,1,,,,,,,1,,5,,3,,,,,5,,,,
228,4032,,30,,,,28,14,,1,,,,,,18,,,,,,1,,2,1,,,,,,,2,,18,,13,,,,1,17,,1,,,,,,,,,,1,,3,,,1,,,,,,,,,,6,5,228,,4,21,,1,6,,17,3,,,1,,22,3,2,,,,1,,,1,,,,,,,1,1,3,,4,,,,,4,1,,,
229,4077,,25,3,,,36,11,1,2,5,,,,,15,,1,,,,,,,,,,,,,,5,,15,,7,,,,,20,,3,,,,,,,,,,1,,1,,,,,,,,,,,,,5,2,234,,2,16,,,5,2,13,2,,,,,24,2,2,,,1,1,1,2,,,,,1,,,1,,4,,3,,2,,,3,,,,
230,4122,,38,1,,,21,10,1,,7,,,,,12,,,,,,,,1,,1,,,,,,1,,9,,5,,,,,38,,4,,,,,,,,,1,1,,1,,,,,,,1,,,,,,1,7,225,,2,18,,,2,,20,1,,,,,20,3,2,,,1,1,,3,1,,,,,,,2,1,5,,2,,,,,7,,,,
238,4478,,40,,,,24,10,,,3,1,,,,27,,,,,,,,,,,,,,,,2,5,19,,4,,,,,34,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,1,165,,,33,,,,,11,,,,,,46,2,3,,,,,1,1,,,,,,,,,,1,,,,3,,,11,,,,
246,4835,,35,1,,,20,2,1,,4,,,,,31,,1,,,,,,,,,,,,,1,4,,14,,7,,,,,23,,2,,,,,,,,,,1,,,,,,,,,,,,,1,,1,3,194,,3,35,,,,,8,,,,,,35,2,2,,,,,,2,,,,,,,1,4,,2,,5,,1,,,11,,,,
254,5163,,40,2,,,10,,,2,2,,,,,46,,,,,,,,,,,,,,,,1,,9,,4,,,,,50,,7,,,,,,,,,,,,,,,,1,,,2,,,,,,,2,142,,3,30,,,,,15,,,,,,29,1,2,,,1,,,,2,,,,,,,5,,1,,1,,1,,,18,,,,
255,5193,,34,2,,,32,1,,,4,,,,,29,,,,,,,,,,,,,,,,,,18,,5,,,,,32,,5,,,,,,,,,,1,,1,,,1,,1,,1,,,,,,3,1,143,,2,38,,,1,,14,1,,,,,35,2,3,,,,1,,3,3,,,,,,,4,,1,,,,4,,,18,,,,
256,5223,,33,4,,,27,,1,,4,,,,,26,,,,,,1,,,,,,,,,,,1,19,,8,,,,,36,,4,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,166,,4,40,,,1,,9,,,,,,37,,1,,,1,1,,1,,,,,,1,,,,,,,1,2,,,14,,,,
257,5253,,56,4,,,21,1,,,1,1,,,,27,,1,,,,,,,,,,,,,,,,6,,7,,,,,32,,7,,,,,,,,,,,,1,,,1,,,,3,,,,,,,2,164,,4,28,,,,,12,1,,,,,35,1,4,,,1,,,1,,,,,,,,2,,1,,,,,,,13,,,,
