depth,age,acer,alnus,amaranthaceae,apium,artemisia,asteraceae undiff.,berberis,betula,brassicaceae,buxus,caryophyllaceae,castanea,cedrus,centaurea,cistaceae,corylus,cupressaceae,dipsacoideae,ephedra,ericaceae,fabaceae,fraxinus,genista-type,glomus,lamiaceae,liliaceae,lonicera,olea,phillyrea,pinus,pinus pinaster,pistacia,plantago,poaceae,polygonum aviculare-type,quercus (deciduous),quercus (evergreen),rhamnus,riccia,rubiaceae,rumex crispus-type,salix,sordariaceae,thymelaeaceae,typha,urticaceae,vitis,zygnemataceae
99,2445.6,,,7,4,24,22,,,4,,2,,4,,5,1,5,,3,7,5,,,42,3,,,3,,53,7,,2,60,,11,32,1,4,,,3,,1,7,2,,63
127,2817.7,,1,12,4,21,23,,,,,1,,2,,7,,1,,3,8,,,1,35,10,,,5,,58,5,1,6,69,,9,28,,3,,,2,5,3,7,,,31
159,3333.5,,,7,4,28,19,,1,,,2,,1,,11,,6,,2,11,1,,,9,,2,,4,5,63,11,,9,44,,15,26,,4,,,1,7,1,6,,,19
199,4023.6,3,,13,,31,9,,2,3,,1,,,,3,,5,,,1,1,,4,6,2,,,8,,150,5,,1,35,,25,15,,2,,,7,4,,,,,37
229,4619.2,1,,14,,21,17,,,,1,5,,3,,1,2,,,2,4,1,,,3,4,,,4,1,133,9,,1,22,2,26,15,,3,,,,2,,,,,47
259,5337.3,3,1,2,,16,31,,,4,,,1,,,,4,,,,5,5,,1,,4,,2,4,,162,8,,2,22,,37,12,,2,,,3,4,,5,,,28
299,6298.2,2,,4,,6,15,,1,,2,8,1,1,,,3,,,1,1,1,,,3,1,,,6,1,155,21,1,,33,,28,7,,2,,,3,,,7,,,43
335,7260.5,2,,4,5,5,8,,,1,,,,,,,1,1,,,7,2,,,2,4,,1,5,,221,15,2,3,30,1,8,5,,1,,,1,2,,,,,8
374,8313.8,,,4,,8,11,,1,,2,,,1,,,2,,,,4,,,,3,4,,1,8,,240,10,1,3,23,,13,4,,3,1,,,,,,,,24
34,676.9,,,9,6,30,36,2,2,,,3,,,3,10,,7,,,6,3,1,6,82,7,,,15,5,20,1,5,12,81,4,5,17,,2,,,3,4,3,6,3,,69
74,2100.2,,,9,4,28,11,,,,,6,,,,6,,7,,2,3,,,4,68,10,1,,5,1,67,6,3,6,70,,10,30,,2,,,,3,2,3,,,64
96,2407.1,,1,6,7,29,15,,,3,,2,,,,6,1,11,,2,14,5,1,2,53,2,,,4,1,55,9,3,9,69,1,8,28,,4,,,,12,2,7,1,,55
